Entity,Code,Year,Household air pollution
Afghanistan,AFG,1990,20372
Afghanistan,AFG,1995,27948
Afghanistan,AFG,2000,31581
Afghanistan,AFG,2005,36956
Afghanistan,AFG,2006,36622
Afghanistan,AFG,2010,31631
Afghanistan,AFG,2016,34356
Albania,ALB,1990,2159
Albania,ALB,1995,1994
Albania,ALB,2000,1794
Albania,ALB,2005,1680
Albania,ALB,2006,1565
Albania,ALB,2010,1190
Albania,ALB,2016,1003
Algeria,DZA,1990,2502
Algeria,DZA,1995,1630
Algeria,DZA,2000,1018
Algeria,DZA,2005,456
Algeria,DZA,2006,393
Algeria,DZA,2010,220
Algeria,DZA,2016,111
American Samoa,ASM,1990,11
American Samoa,ASM,1995,10
American Samoa,ASM,2000,9
American Samoa,ASM,2005,8
American Samoa,ASM,2006,8
American Samoa,ASM,2010,7
American Samoa,ASM,2016,6
Andorra,AND,1990,2
Andorra,AND,1995,1
Andorra,AND,2000,1
Andorra,AND,2005,1
Andorra,AND,2006,1
Andorra,AND,2010,1
Andorra,AND,2016,1
Angola,AGO,1990,12604
Angola,AGO,1995,13317
Angola,AGO,2000,13815
Angola,AGO,2005,13316
Angola,AGO,2006,12874
Angola,AGO,2010,11864
Angola,AGO,2016,7902
Antigua and Barbuda,ATG,1990,4
Antigua and Barbuda,ATG,1995,3
Antigua and Barbuda,ATG,2000,2
Antigua and Barbuda,ATG,2005,2
Antigua and Barbuda,ATG,2006,2
Antigua and Barbuda,ATG,2010,1
Antigua and Barbuda,ATG,2016,1
Argentina,ARG,1990,4424
Argentina,ARG,1995,3139
Argentina,ARG,2000,2588
Argentina,ARG,2005,2208
Argentina,ARG,2006,2109
Argentina,ARG,2010,1707
Argentina,ARG,2016,1202
Armenia,ARM,1990,2355
Armenia,ARM,1995,2226
Armenia,ARM,2000,1366
Armenia,ARM,2005,1269
Armenia,ARM,2006,1239
Armenia,ARM,2010,867
Armenia,ARM,2016,650
Australia,AUS,1990,241
Australia,AUS,1995,98
Australia,AUS,2000,86
Australia,AUS,2005,87
Australia,AUS,2006,85
Australia,AUS,2010,69
Australia,AUS,2016,59
Austria,AUT,1990,377
Austria,AUT,1995,257
Austria,AUT,2000,196
Austria,AUT,2005,148
Austria,AUT,2006,140
Austria,AUT,2010,112
Austria,AUT,2016,87
Azerbaijan,AZE,1990,5458
Azerbaijan,AZE,1995,5220
Azerbaijan,AZE,2000,3481
Azerbaijan,AZE,2005,2442
Azerbaijan,AZE,2006,2257
Azerbaijan,AZE,2010,2098
Azerbaijan,AZE,2016,1849
Bahamas,BHS,1990,15
Bahamas,BHS,1995,13
Bahamas,BHS,2000,11
Bahamas,BHS,2005,10
Bahamas,BHS,2006,10
Bahamas,BHS,2010,10
Bahamas,BHS,2016,10
Bahrain,BHR,1990,44
Bahrain,BHR,1995,28
Bahrain,BHR,2000,21
Bahrain,BHR,2005,11
Bahrain,BHR,2006,10
Bahrain,BHR,2010,8
Bahrain,BHR,2016,6
Bangladesh,BGD,1990,117467
Bangladesh,BGD,1995,110913
Bangladesh,BGD,2000,108085
Bangladesh,BGD,2005,110898
Bangladesh,BGD,2006,111627
Bangladesh,BGD,2010,110340
Bangladesh,BGD,2016,106871
Barbados,BRB,1990,1
Barbados,BRB,1995,1
Barbados,BRB,2000,1
Barbados,BRB,2005,0
Barbados,BRB,2006,0
Barbados,BRB,2010,0
Barbados,BRB,2016,0
Belarus,BLR,1990,1590
Belarus,BLR,1995,1513
Belarus,BLR,2000,1091
Belarus,BLR,2005,784
Belarus,BLR,2006,677
Belarus,BLR,2010,417
Belarus,BLR,2016,244
Belgium,BEL,1990,204
Belgium,BEL,1995,130
Belgium,BEL,2000,105
Belgium,BEL,2005,85
Belgium,BEL,2006,81
Belgium,BEL,2010,68
Belgium,BEL,2016,56
Belize,BLZ,1990,55
Belize,BLZ,1995,45
Belize,BLZ,2000,39
Belize,BLZ,2005,31
Belize,BLZ,2006,30
Belize,BLZ,2010,33
Belize,BLZ,2016,31
Benin,BEN,1990,6640
Benin,BEN,1995,7078
Benin,BEN,2000,6949
Benin,BEN,2005,6625
Benin,BEN,2006,6592
Benin,BEN,2010,6884
Benin,BEN,2016,7056
Bermuda,BMU,1990,8
Bermuda,BMU,1995,6
Bermuda,BMU,2000,5
Bermuda,BMU,2005,3
