Entity,Code,Year,Access to clean fuels and technologies for cooking  (% of population) (% of population)
Afghanistan,AFG,2000,22.6663410663605
Afghanistan,AFG,2001,22.4082231521606
Afghanistan,AFG,2002,22.1026062965393
Afghanistan,AFG,2003,21.7587053775787
Afghanistan,AFG,2004,21.3857114315033
Afghanistan,AFG,2005,20.9928274154663
Afghanistan,AFG,2006,20.5892622470856
Afghanistan,AFG,2007,20.1827049255371
Afghanistan,AFG,2008,19.7747886180878
Afghanistan,AFG,2009,19.3656384944916
Afghanistan,AFG,2010,18.955385684967
Afghanistan,AFG,2011,18.5441374778748
Afghanistan,AFG,2012,18.1320250034332
Afghanistan,AFG,2013,17.719179391861
Afghanistan,AFG,2014,17.305713891983
Albania,ALB,2000,48.022335767746
Albania,ALB,2001,49.5114088058472
Albania,ALB,2002,50.952884554863
Albania,ALB,2003,52.3558259010315
Albania,ALB,2004,53.7292897701263
Albania,ALB,2005,55.0823301076889
Albania,ALB,2006,56.4240038394928
Albania,ALB,2007,57.7618956565857
Albania,ALB,2008,59.0976715087891
Albania,ALB,2009,60.4315221309662
Albania,ALB,2010,61.7636442184448
Albania,ALB,2011,63.0942225456238
Albania,ALB,2012,64.4234597682953
Albania,ALB,2013,65.7515406608582
Albania,ALB,2014,67.0786619186401
Algeria,DZA,2000,93.0824309587479
Algeria,DZA,2001,94.0398149192333
Algeria,DZA,2002,94.9494961649179
Algeria,DZA,2003,95.7992173731327
Algeria,DZA,2004,96.6487485915422
Algeria,DZA,2005,97.4785078316927
Algeria,DZA,2006,98.2851024717093
Algeria,DZA,2007,99.0157268941402
Algeria,DZA,2008,99.5643367990851
Algeria,DZA,2009,99.8647301923484
Algeria,DZA,2010,99.9697069462854
Algeria,DZA,2011,99.9889092898229
Algeria,DZA,2012,99.9900000002526
Algeria,DZA,2013,99.9900000002526
Algeria,DZA,2014,99.9900000002526
Andorra,AND,2000,100
Andorra,AND,2001,100
Andorra,AND,2002,100
Andorra,AND,2003,100
Andorra,AND,2004,100
Andorra,AND,2005,100
Andorra,AND,2006,100
Andorra,AND,2007,100
