"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","ENVCAUSE (CODE)","ENVCAUSE (DISPLAY)","ENVCAUSE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MLE","Male","","ENVCAUSE068","Trachea, bronchus, lung cancers","","2[ 2–3]","2.23721","1.62587","2.76344","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","BTSX","Both sexes","","ENVCAUSE114","Stroke","","16[ 13–18]","15.75488","13.47860","18.04319","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","AGO","Angola","","MLE","Male","","ENVCAUSE113","Ischaemic heart disease","","10[ 9–12]","10.46811","8.91632","12.12317","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","AFR","Africa","","AGO","Angola","","MLE","Male","","ENVCAUSE068","Trachea, bronchus, lung cancers","","0[ 0–0]","0.35577","0.24691","0.45636","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","ALB","Albania","","FMLE","Female","","ENVCAUSE113","Ischaemic heart disease","","43[ 27–61]","42.78649","27.15669","60.95918","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","ALB","Albania","","MLE","Male","","ENVCAUSE113","Ischaemic heart disease","","59[ 40–82]","59.30270","40.43071","81.55532","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","FMLE","Female","","ENVCAUSE113","Ischaemic heart disease","","5[ 4–6]","5.06697","4.11232","6.25673","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","AUS","Australia","","MLE","Male","","ENVCAUSE039","Lower respiratory infections","","1[ 0–2]","1.00329","0.25841","2.20566","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","AUT","Austria","","MLE","Male","","ENVCAUSE039","Lower respiratory infections","","1[ 1–3]","1.44511","0.52168","2.68586","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","AUT","Austria","","MLE","Male","","ENVCAUSE114","Stroke","","4[ 2–8]","3.86896","2.13884","7.55340","","",""
"SDGAIRBOD","Ambient and household air pollution attributable death rate (per 100 000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3793","PUBLISHED","Published","","2016","2016","","EUR","Europe","","AZE","Azerbaijan","","MLE","Male","","ENVCAUSE039","Lower respiratory infections","","3[ 2–5]","3.05892","1.59325","4.88036","","",""
